"laoguoyin:yapin","chars","freq_chars"
"guai1","乖㾩娃","乖娃"
"guai3","拐柺𦫳","拐"
"guai4","夬廥獪怪恠𢶒旝澮檜襘鄶","怪"
"guan1","觀冠倌𠴨官棺瘝綸莞關鰥","官棺關觀鰥冠"
"guan3","卝悹痯筦管琯脘舘輨錧館","管館舘"
"guan4","丱涫慣懽灌爟瓘矔祼罐貫鑵鱹鸛觀礶冠","貫慣灌觀礶罐冠"
"guang1","光桄侊洸珖胱茪銧𩧉黆","光胱"
"guang3","廣獷𠍧懭逛鄺","廣"
"guêi1","圭嫢嬀摫槻歸潙瑰皈硅窐茥𦿡規邽閨𨾚鮭龜傀","規歸圭閨龜瑰"
"guêi3","垝佹匭厬姽宄庪晷氿癸祪簋𦞙蛫蟡觤詭軌䣀䤥陒𩑔鬼","鬼軌癸詭晷"
"guêi4","劊劌匱幗憒撅昋桂橛櫃炅炔𤜂筀膾貴趹蹶𩌃鱠䳏跪瑰","貴櫃桂跪瑰劊"
"guen3","丨掍滚緄蓘衮輥錕𩩌鯀滾","滾"
"guo1","過堝渦瘑𨍋鍋𩰫","鍋"
"guo3","倮𠜴惈果猓菓蜾裹䴹","果菓裹"
"guo4","腂過","過"
"guo5","國埻崞幗摑椁㶁𥆘矌虢适郭馘","國郭"
"hai1","咍唉","唉"
"hai2","咳孩骸還","孩還"
"hai3","海醢","海"
"hai4","亥噧妎害㤥㱾𦤬𥩲駭","害亥駭"
"han2","含唅函圅寒𡪶崡㟏扞浛涵瀚珩甝蜬谽邗酣䤴韓馯","寒含韓函涵"
"han3","喊厂㯺熯㺖闞鬫罕","喊罕"
"han4","汗琀憾暵旱垾捍悍撼涆漢濫犴皔䓍菡蔊蜭䗣釬閈雗頜顄駻鳱鶾罕翰","漢汗罕旱悍翰憾"
"hang2","吭杭笐肮航沆桁苀行迒魧降","杭航行降"
"hang4","𦐄項","項"
"hau1","嚆找蒿薅𧯌","蒿"
"hau2","兞呺噑壕㠙毫濠竓粍蠔豪𨚙號","毫豪號"
"hau3","好薃","好"
"hau4","號号夰昊晧皥浩灝皓皜滈秏𧬁鎬顥好耗","號浩皓好耗"
"he5","黑𨭆𢅰閡匌嚇劾核掝紇覈赫麧嘿","黑嘿核赫嚇"
"hen2","拫痕","痕"
"hen3","狠很","很狠"
"hen4","很恨詪","恨"
"heng1","亨哼悙脝蘅","亨哼"
"heng2","姮恆桁橫衡蘅恒","橫恆恒衡"
"heu1","㗕齁餱","餱"
"heu2","侯喉猴瘊篌糇翭䗔䙈餱鯸","侯猴喉"
"heu3","吼㸸","吼"
"heu4","后厚後候堠怐𥅠鱟𪃶吼","後候后厚吼"
"ho1","呵訶","呵"
"ho2","和荷何河禾蚵鉌魺龢","何河荷禾和龢"
"ho4","𧬂賀荷","賀荷"
"ho5","涸𠗂合欱暍喝嗃郝熇壑嗑垎壑嵑廅愒㧁挌曷格𣣹𩌊毼皬盍盒矐蒚藃蝎螛蠚褐貉䚂轄䢔郃闔隺鞨頜鶡鶴齃","合盒闔盍鶴壑曷喝郝"
"hong1","𠐿𢝁揈渹䎕𥕗薨𦒃訇諻謍鍧魟烘轟哄","轟烘"
"hong2","虹泓字吰吽宏宖弘㢬𢘌揘洪浤渱瑝𥐪竑篊紅紘紭䍔𦏺翃耾苰葒訌𧮯谼鈜鉷鐄鞃䬝黌鴻","紅虹洪弘宏鴻"
"hong3","澋哄","哄"
"hong4","澒哄鬨汞","哄鬨汞"
"hu1","呼嘑幠滹虍虖軤魱","呼"
"hu2","乎瓠㗅壺弧湖狐猢瑚箶糊胡葫𧍵蝴衚醐餬鬍鶘鶦","壺乎胡湖糊鬍瑚葫衚蝴餬狐弧瓠"
"hu3","滸琥虎","虎琥滸"
"hu4","互冱婟嫭岵𡻮祜怙戶戽扈昈枑楛沍𣶉滬簄謼護擭濩鄠雇䨼韄頀鳸瓠","互戶滬瓠護"
"hu5","囫昒嗀嬳熇忽惚斛曶槲檴豰㳷淴瀫㿥笏縠芴螜䚛觳𣫈鑊䬍𩟓鵠鶮蠖彠","忽惚斛"
"hua1","花蕐","花"
"hua2","划崋摦蘹𧑍釫鋘驊鷨華","華"
"hua4","話倮樺化㕦䋀杹畫諣踝","化話畫"
"hua5","傄劃咶抇㧉搰滑猾磆縎螖頢豁","滑猾劃豁"
"huai2","槐懷㠢櫰淮瀤䃶褢","懷槐淮"
"huai4","壞𡾨懷絓蘾譮澅","壞"
"huan1","嚾懽歡䑏讙貛驩鸛","歡"
"huan2","𠟼圜寰擐峘桓澴環荁豩還鍰鐶闤𩘎𩙽鬟瓛","還環鐶桓"
"huan3","攌㬊綄鯇緩","緩"
"huan4","垸喚瘓奐宦幻患換槵浣渙漶澣煥獾甩皖睅睆緩莞豢逭","幻患宦喚換"
"huang1","巟㡆㡛㤺恍䀮𥡃肓衁慌荒","慌荒"
"huang2","喤偟凰崲徨惶湟煌璜潢櫎皇磺篁簧艎葟蟥趪遑𨜔隍餭騜鰉鱑黃蝗","黃簧磺皇凰煌惶蝗徨遑"
"huang3","幌怳慌𣆖榥皝䐠謊恍","恍謊"
"huêi1","倠噅墮幑徽鰴恢揮撝𪎮暉楎灰煇𤟤㺔翬詼豗輝隳䮝","灰恢詼揮煇暉輝徽"
"huêi2","回廻徊洄茴蚘蛕蛔囘","回囘徊茴"
"huêi3","卉毀毇檓烜𤈦燬䃣蘬虫䛼賄悔","毀悔賄"
"huêi4","喙潰孈噦彗槥篲穢濊會悔𠧩嘒婎嬇𡼾廆彙匯惠慧憓懀晦暳檜𣨶泋𣸎燹璯繢繪𦒎翽䔇蕙薈䕇蟪褘誨諱譓𧬨鏸靧頮顪餯䵋𪔊会滙卉","会會繪悔晦彗慧諱惠滙匯彙卉穢"
"huen1","婚㛰惛惽昆昏昬棔殙睧閽𨵽葷","昏婚惛閽葷"
"huen2","渾緄餛魂鼲琿","渾琿魂餛"
"huen3","眃混","混"
"huen4","倱圂溷婫慁混焜䛰諢鯶","混"
"huo3","火伙輠夥","火伙夥"
"huo5","剨㗲嚄嫿𢃤惑㦎或捇㩇攉藃泧活湱濊瀖獲畫癨眓䁨藿謋豁越䣶霍靃騞䰥","或活惑獲霍藿攉畫"
"i1","衣依伊凒噫咿咦㙠暆欹洢漪瑿䃜蛜郼銥䧇鷖黳撎她醫","她伊衣依醫噫"
"i2","侇𠗺台施匜宜沂䲑鸃圯夷姨宧峓彝𢓡怡恞扅柂枱栘桋椸洟狋𤝻瓵痍眙移簃胰荑䔟蛇蛦袲訑貽跠迤迻遺鉹䧅頤飴鮧疑儀","宜夷姨疑移遺儀怡"
"i3","以檥猗偯㕈𠯋崺㠖艤蟻螘顗齮倚已㥴扆矣肔苡苢衪裿𧩹踦迆陭旖椅","椅倚以蟻已矣"
"i4","曳廙㒾潩异医呭抴勩曀刈㣻劓㘈囈𣚘毅羛義羿藝襼詣誼議𧱏䰯食㙪寱意𢟇懿敡枍枻栺槸殔殪泄洩㵝異瘞瘱瞖稏肄蓺𦻜藙蘙袘袣裔豷𧳙跇鐿饐鮨𪆖鷾易倚","意異義議藝肄誼裔易倚毅"
"i5","一熤唈亄亦佚佾俋浥億檍𠓋呹嗌噎圛坄垼埸墿壹奕㚤射嶧帟弈弋乙易液艗鷁役疫悒憶懌抑㧒拽挹掖揖斁欥杙汩泆㴒溢澺瀷熠益睪𥜃繹繶翊翌翼肊腋膉臆芅䓃𧇽蜴䗷䘝襗謚譯軼逸邑醳醷釔鎰隿霅䫻驛䳀䴬黓仡屹疙𤴸弌","一弌乙億憶揖易蜴液益溢疫役拽邑抑亦奕弈逸佚壹弋譯驛腋翼"
"ia1","丫𠜲椏烏䃁錏鴉呀","丫呀鴉"
"ia2","崖涯牙呀㧎枒犽䍓芽齖衙","牙芽崖涯衙"
"ia3","啞厊庌雅疋疨亞","雅亞啞"
"ia4","亞婭砑訝迓閕氬襾","訝迓亞"
"ia5","䝟𡇼圔圠壓押揠浥碣䆘䝟𨂁軋輵䦪鴨","鴨押壓"
"iai2","厓啀睚","厓"
"iang1","央岟殃泱秧胦𧲱鴦","央泱秧殃鴦"
"iang2","崵佯徉愓㦹揚敭昜晹楊洋烊煬瑒瘍禓羊鍚陽鰑","羊洋佯禓陽揚楊"
"iang3","仰佒怏㔦痒懩癢詇駚養","養癢仰"
"iang4","坱恙樣漾㺊羕瀁","樣漾恙"
"iau1","要夭宎佻凹喓坳妖幺𢆷枖祅腰䙅訞邀䫜䳩么","凹坳夭妖幺么要腰邀"
"iau2","姚僥傜搖嗂垚堯媱嶢徭愮榣洮猺珧瑤窯繇䍃耀䔄褕謠軺遙銚陶颻鰩肴","搖遙窯謠堯姚肴"
"iau3","齩偠咬㝔𢂊杳溔狕䁏䁘窈舀芺騕䯚","咬杳窈"
"iau4","拗𠹑曜樂燿皛𤾫筄約芍袎覞趯靿要耀","要耀曜燿拗"
"iê2","揶擨斜爺琊𥭕耶䓉邪釾鋣椰","爺耶椰揶"
"iê3","也冶虵野","也野冶"
"iê4","夜射鵺","夜"
"iê5","𠉪偞厭擪咽噎嚈頁葉䌜業嶪嶫鄴䧨楪殗𣩫焆爗燁𤾼䊦蠮謁鍱閼靨饁曄𩸆","葉頁業咽"
"iên1","焉嫣咽𤝱崦淹殗殷湮烟煙猒珚䅧𦎣胭蔫䗡𧹬醃閼奄鹽","咽烟煙奄淹醃焉鹽"
"iên2","延檐沿涎狿炎言嚴巖㘖壧妍研岩嵒癌碞𡿕揅䇾䉷羬虤顏䫡𪙊麙塩䀽筵簷蜒郔閻䦲𪂈漹鹽巌焉","言鹽沿嚴岩巌顏炎延筵蜒研閻檐焉"
"iên3","灩匽弇揜嬿儼曮礹㜝嬐䲓嵃齴嶮顩㺂甗眼隒𩖆𪗙沇兗剡㕣埯奄戭扊掩㫃棪檿渰演𤟇琰縯䎦蔩𧍢䛇䣍酓錟隁鰋鶠鼴广㚧偃衍","眼演掩儼衍奄"
"iên4","焱燄宴𤜵堰埏厭唁這噞驗彥硯諺讞贗趼釅雁騐鬳鴈齞燕傿嚥𢜰懕晏烻焰爓𤬝䁙艷讌豔醼顑饜騴驠鳱鴳鷃曣衍","燕嚥雁鴈彥諺厭驗宴硯衍艷豔"
"ieu1","優呦泑喲嚘峳幽憂攸㱊滺瀀纋耰𧍘鄾麀悠","憂優幽攸悠"
"ieu2","㘥冘庮𠧴尤油猶怞悠抌斿楢櫾沋游猷由疣秞繇䍃肬莤蕕蚘蚰蝣訧遊郵鈾鮋鼬攸","由油尤猶郵游遊攸悠"
"ieu3","有卣友岰懮栯㰶牖羑莠誘酉槱䬀䳑","有友酉莠"
"ieu4","囿佑侑又右宥幼柚狖褎酭釉鴢誘","又幼右佑柚宥誘"
"in1","㶏殷慇因堙喑姻婣愔氤湮瘖䃌磤絪茵蒑裀諲銦闉陻霒鞇音駰歅陰","因姻茵音殷陰"
"in2","吟寅夤唫嚚圁垠泿齦珢銀峾沂釿𪛊䖐崟㹜狺䖜訢誾鄞䴦婬殥淫𦟘螾䤁霪鷣迎","銀寅吟淫迎"
"in3","㥯飲引听齗𪙤尹檼廴戭潭濦𤻘癮縯䌥𦾻蘟蚓讔𨏈隱","飲隱尹引蚓"
"in4","濥垽憖䭓㒚檃印廕𣍃窨胤蔭酳䫴鮣飲吟","飲蔭印吟"
"ing1","櫻瀴應嚶嬰攖柍煐瑛瓔甖纓罃罌膺英蘡𧕄譻霙韺鶯鷹鸚","應鷹嬰櫻纓鸚鶯英"
"ing2","熒嫈濙俓迎營䁝螢滎𠠜塋嬴㜲嵤楹瀛𤟣盈籯䕦蠅贏瑩","迎蠅盈贏嬴螢營"
"ing3","廮影巊梬㯋潁浧㹙癭穎郢","影穎"
"ing4","媵映瀅硬賸䵴應","應硬映"
"io5","瀹喲岳嶽敫樂爚礿禴籥約藥蘥趯躍鑰鸑龠䖃𧕋𤄶籰䋤𩱲鸙龥箹唷葯","約喲唷葯藥龠鑰岳嶽樂躍"
"iong1","壅噰灉廱𢧳槦滽癰𥧱罋臃䗤𧝸𧴄邕雝饔𪅟縈褮雍","雍"
"iong2","榮嶸嵱容溶喁遇顒傭慵融墉庸榕滎瀜瀯熒瑢肜蓉𦾵蠑褣謍䡥鄘鎔鏞䪯頌鰫鱅傛","榮容蓉溶鎔庸傭融"
"iong3","俑勇𠹍埇悀恿惥慂擁奣桶永涌㴄湧𤁽甬筩蛹𧖇踊泳詠咏","永泳詠咏勇湧蛹踊擁"
"iong4","咏泳用詠𩏨","用泳詠咏"
"ji1","丌畿幾乩刏几卟咭嘰基奇姬居朞枅棋機机畸磯𥝌稘䅲笄箕羇羈耭肌萁虮觭諆踑錤鐖雞鞿飢饑馶鷄麂璣期譏稽竒","雞鷄基期箕几飢肌姬機机譏饑稽奇竒"
"ji3","㞆己掎剞庋枳穖踦邔𪊍𪊨幾几紀","幾己几紀"
"ji4","伎鵋塈曁冀刉垍妓季寄彐忌悸惎懻技旡既檵洎瀱猤𢍉痵紒繼𦇧罽𦜕臮芰𦺶薊蘮䗁覬計記誋諅𧫜譏跽𨜒䤒𩥉驥鬾紀繫騎","記計寄季既忌繼技妓繫冀騎"
"ji5","亟伋佶及吃吉圾姞屐岌急㥛戟扢撠擊棘極殛毄汲激狤級結芨苙蕀𦻝襋𧩦䞘䩯鷑給","急極及汲岌級吉棘亟激擊給"
"jia1","伽枷瘕佳幏傢加咖嘉家犌珈痂笳耞茄葭𧉪袈𧛣豭跏鎵鴐麚","家佳嘉枷加伽袈"
"jia3","假叚斝斚椵榎檟貑賈","假賈"
"jia4","價嫁架稼駕价假","嫁架駕價价假"
"jia5","恝俠圿夾岬恝戛扴押揳擖柙梜浹猰甲砎𥑐硈秸胛袷郟鉀陜鞂頡鴶鵊","夾俠甲"
"jiai1","皆偕楷階稭湝喈䕸街裓蝔𩘅鶛","街皆偕階"
"jiai3","解檞薢繲","解"
"jiai4","介价芥蚧玠界疥屆嶰廨戒悈誡犗㠹䯰魪械","介芥界疥戒械誡屆"
"jiang1","僵姜橿殭江瓨畺疆礓繮茳薑䗵豇韁彊","江姜彊疆韁僵薑"
"jiang3","傋耩襁講","講"
"jiang4","降洚嵹彊糡絳袶強虹","強降絳虹"
"jiau1","交嬌憍徼儌僥咬嵺憿澆㶀穚簥䍊艽茭蛟詨轇郊鮫𪁉鷮驕膠教","交郊蛟嬌驕澆膠教"
"jiau3","恔攪敿撟佼糾曒狡璬㽱皎皦矯筊繳䘨𨝰餃鱎","攪矯狡皎餃"
"jiau4","叫轎嘂獥噭嬓𡦴挍敫校較教覺㹾珓窌䆗窖訆譥酵𨲭呌","叫呌教校較覺轎窖酵"
"jiê5","傑拮劫楬揭唊夾孑𢷒极杰桀桔劼榤渴滐㵖結絜𦀖羯莢衱袷訐詰鋏頰偈竭刦潔","結揭竭傑劫刦潔孑莢"
"jiên1","犍鬝堅奸姦幵慳㨜𢳚椷洨瑊礛𥴤緘兼縑肩艱菅菺葌蒹蕳銒鋻閒鞬䭈馯鰜鰹鵳𪃋鶼麉黬監間","兼監堅肩艱間姦奸緘"
"jiên3","臉囝垷姣孂𡾰寋䞿𢆚弿撿暕柬揀檢減湕㺝瞼筧簡繭藆䙭𧟉鹻鹼减堿儉","减減柬揀簡繭鹼堿檢儉臉"
"jiên4","件建健鍵楗儉𠐻劍劒壏檻毽㵎𦅘𦉞艦襇見覵諫轞𨏊鐧間監鑑鑒","見建健鍵儉諫劍件監鑑艦間鑒"
"jieu1","丩朻勼樛摎㽱繆鬮鳩","鳩"
"jieu3","久九玖糾韭灸韮","九久玖韭韮糾"
"jieu4","匶咎廏捄救柩桕疚究䊆臼舅舊𦭻莥䓘𧾻麔","救臼舅舊究咎柩"
"jin1","今斤巾筋衿襟觔金黅禁","斤觔今衿襟筋巾金禁"
"jin3","卺槿㱈殣緊謹錦","緊錦謹"
"jin4","堇墐僅妗㧆㨷𦧈覲靳饉噤凚僸瑾近禁","近僅禁噤"
"jing1","經京兢剠剄勍巠桱涇矜荊驚鵛鶁麠殑","京經驚荊"
"jing3","境憬憼景㯳璟蟼警頸莖","景頸莖境警"
"jing4","𠗌勁璥徑敬牼獍痙竟競儆誩鏡陘逕","敬儆竟競勁徑逕鏡"
"jio5","較傕搉桷梏榷珏脚腳覺角觳瑴捔斠龣攫","脚腳覺角"
"jio5","較傕搉桷梏榷珏脚腳覺角觳瑴捔斠龣攫","攫"
"jio5","矍彏戄玃籰蠼貜钁攫玃","脚腳覺角"
"jio5","矍彏戄玃籰蠼貜钁攫玃","攫"
"jiong1","冂冋扃坰駉","扃"
"jiong3","冏炯泂㓏囧炅煚𤑄熲苘藀褧迥扃","迥炯扃"
"jiong4","迥扃","扃"
"jü1","捄痀俱𡨢居椐据崌拘𣂏琚蜛跔車鴝鶋駒","居拘駒車俱"
"jü3","弆怇椇櫸矩枸筥舉莒貗踽鄅","舉矩"
"jü4","句倨具勮屨巨拒怐懅懼據㬬柜歫泃炬䀠𥉁秬窶粔苣萭虡裾𧣻䛯豦距踞遽鉅鋸雊颶駏䱟","具颶懼句據遽巨苣鉅距拒鋸"
"jü5","劇掬匊菊局挶㑢𧍕谻噱臄醵梮椈橘檋湨犑狊跼踘輂郹鋦鞫鵴鼳鞠","局菊鞠橘劇"
"jüan1","娟涓焆䅌蜎鵑捐","捐娟鵑"
"jüan3","卷捲菤錈","卷捲"
"jüan4","獧帣倦婘悁狷㪻眷絹鄄卷","卷倦眷絹"
"jüê5","亅掘崛决厥劂𠜾噘屈嶡抉撅橛橜決潏獗玦瘚䀗芵蕨蚗蟨蟩䘿觖觼訣譎𧱝趹蹷镼駃鴂鴃鵙鷢倔窟","决決訣掘倔窟厥"
"jüen1","君囷均桾㽦皸袀軍鈞頵麕龜","君均鈞軍"
"jüen3","箘菌攟稛䐃窘","窘菌"
"jüen4","僒呁捃攈㻒郡菌","郡菌"
"kai1","𢔡揩𦂄開","開揩"
"kai3","凱塏愷楷烗𥏪鍇慨","楷凱愷慨"
"kai4","咳𡢖欬愒愾嘅慨輆隑","慨"
"kan1","看刋坩嵁堪嵌𢦟戡栞轗龕勘刊","堪勘刊看"
"kan3","侃坎㙳欿砍輡","砍坎侃"
"kan4","勘瞰矙磡闞嵌看","勘嵌看"
"kang1","㝩康槺㱂漮㼽穅糠䗧躿慷","康糠慷"
"kang4","亢匟忼抗炕犺砊伉慷","炕抗伉慷"
"kau3","拷攷栲槀烤熇燺考薧","攷考烤"
"kau4","犒閙靠烤","靠烤"
"ke5","克刻剋咳喀客尅揢氪","客刻咳克"
"ken3","墾懇掯褃豤","墾懇"
"keng1","坑奟牼𥉸硜誙羥鏗摼阬","坑阬硜"
"keu3","口竘釦","口"
"keu4","叩扣寇滱簆蔻鷇","扣叩寇"
"ko1","軻柯棵犐珂稞窠簻萪蝌薖科苛顆","科苛柯顆窠"
"ko3","㐓坷可岢錁閜顆堁哿","可顆哿"
"ko4","課騍","課"
"ko5","㕎壳嶱榼㱿殻渴溘瞌碣𥔐礊頜顝殼㲉恪磕","渴磕壳殼"
"kong1","空悾崆椌涳䅝𥥈箜𥳎倥","空"
"kong3","恐孔𥉁","孔恐"
"kong4","控鞚空","空控"
"ku1","骷刳恗挎枯軲郀","枯"
"ku4","庫袴褲","庫褲袴"
"ku5","俈哭嚳堀捁䍍泏㵠矻窟酷𩑡𩨳","哭酷"
"kua1","夸𠇗侉姱恗誇","誇"
"kuai4","塊儈快會筷䈛蒯蕢駃䯤","快筷塊"
"kuan1","寬髖","寬"
"kuan3","梡款窾","款"
"kuang1","劻匡恇框洭眶筐䯑","匡筐"
"kuang2","狂俇","狂"
"kuang4","况況壙礦曠況眖矌絖纊誆誑貺軦","礦曠况況誑貺"
"kuêi1","刲悝奎戣盔窺絓聧虧闚𩏣魁楑巋","虧盔窺魁奎"
"kuêi2","𧃰暌犪睽葵蝰躨逵鄈騤夔魁","葵夔魁"
"kuêi3","傀𢜽磈䠑頍䫥巋愧","傀愧"
"kuêi4","喟巋媿愧瞶聵簣蕢攱㩻樻硊𥢶䙆䙡觖䞈蹪鞼餽饋䯣䰎揆湀鐀","愧"
"kuen1","坤崐崑昆晜琨蜫褌錕騉髡鯤鵾鶤","昆崑坤"
"kuen3","壼悃捆梱硱稇綑閫齫","綑捆悃"
"kuen4","困混睴","困"
"kuo5","劐𠠎𡻙廓彉彍擴籗蛞闊霩鞹漷","闊擴"
"la5","剌攋喇垃拉搚擸瘌翋臘菈蠟𧙀辢邋鑞辣腊","拉辣剌喇蠟臘腊"
"lai2","來徠崍𤦃睞䅘郲騋鯠鶆淶萊","來萊"
"lai4","瀨癩籟藾賴","賴癩"
"lan2","厱婪嵐惏攔瀾斕欄漤爛籃籣葻藍蘭襤襴襽𨬒闌𨷻韊䰐𪇖攬欖濫","闌蘭欄瀾攔藍籃攬欖濫"
"lan3","灡壈嬾懍懶擥攬欖𨎺覽纜","懶嬾覽攬纜欖"
"lan4","嚂濫爁懢糷纜爛","爛濫纜"
"lang2","嫏㝗狼桹榔瀧琅瑯稂艆莨𦵧蜋郎鋃駺廊螂","郎廊螂狼瑯榔蜋"
"lang3","悢朗樃烺","朗"
"lang4","浪埌䍚蒗","浪"
"lau2","勞㗦嘮㟹撈浶牢癆蟧䜎䜮䝁醪","勞撈癆牢"
"lau3","恅栳潦橑老蓼䕩","老"
"lau4","嫪烙澇勞","勞"
"leng2","崚倰攍棱楞稜𦼊","稜"
"leu2","嘍塿婁慺寠㡞廔樓瞜𦎹耬艛艣螻䝏髏䱾僂摟","婁摟樓"
"leu3","摟漊嶁甊𪍣簍","簍摟"
"leu4","屚漏𤬏瘻𦸢陋","漏陋"
"li2","棃犂氂兣孋㒿剺𠠍劙厘哩㗣嫠攡斄樆漓犛狸梩璃瓈甅离秜䅻穲竰籬糎縭纚莉藜蘺䕻蜊褵貍邌𨛫醨釐𩧋𩭇鱺黎黐梨麗離","梨黎釐麗厘狸貍離璃漓籬"
"li3","俚娌履峛𣀷李澧理㾖㿛盠禮欐𥴡艃裡豊邐醴里鋰鯉鱧裏礼","里理裡裏鯉俚李履禮礼"
"li4","珕例栵浰俐涖攦儷利勵厲吏戾唳悷栛棙櫔沴痢癘盭砅礪禲䅀綟莅䓞蜧㼖詈隷𩗭荔隸蠣麗","例利痢荔隸厲勵蠣麗儷吏"
"li5","凓㔏力叻㗚嚦屴岦慄擽歷朸栗櫟櫪溧濼瀝瑮瓅癧皪磿礫立笠篥粒䍥䍽苙蒚䔁藶躒轢酈鎘靂颯䬆鬲鴗鷅麜曆","力立歷靂曆瀝粒笠栗"
"lia3","𢎏倆","倆"
"liang2","量俍涼凉梁椋樑粮粱糧良輬𩗬諒","凉涼諒梁粱良量糧"
"liang3","兩倆掚蜽裲輛魎","兩輛"
"liang4","亮倞悢晾諒量","亮諒量"
"liau2","寥熮燎獠㙩撩嫽廖佬𠐋嘹僚寮尥㟹嶚憀敹橑漻潦窌聊膋䑠蟟豂轑璙顟遼","寥聊遼潦燎僚"
"liau3","了憭蓼𧘈鄝釕镽","了"
"liau4","料療𦌒膫蟉遼𪖷","料療"
"liê5","儠冽列𠜺𡂏捩擸洌𤁯烈犣獦獵㼲茢蛚蜐裂䜲躐颲鬣鮤鴷","列裂烈獵"
"liên2","戀匳㺦壣奩帘𢅏廉怜憐蘞槤濂㶌煉熑𤹨磏簾翴聯苓蓮薟薕𧐖蠊褳襝覝謰連鎌鏈鐮零鬑鰱𪍴","連鰱蓮廉簾憐聯"
"liên3","臉斂𠗳溓璉䌞羷襺𧸘鄻醶䭑","臉"
"liên4","楝殮瀲湅漣練萰鍊僆斂鏈煉","斂殮鍊鏈煉練"
"lieu2","留劉瀏旒懰榴流琉瑠疁硫𥹷裗䚧遛鎦鎏鏐飀騮鶹","流硫琉留榴劉"
"lieu3","嬼柳綹罶蓼蔞𩖴","柳"
"lieu4","僇塯廇溜窌霤","溜"
"lin2","林淋嶙璘獜潾燐琳疄痳箖粦𧲂遴甐橉鄰隣霖鱗麟磷臨","林淋霖鄰麟燐磷鱗臨"
"lin3","𠘡廩懍檁菻吝","廩吝"
"lin4","吝悋藺賃躪甐","賃吝"
"ling2","凌伶拎倰囹夌岺怜㥄昤櫺𣬹淩玲瓴秢紷綾𦉢羚翎聆朎舲苓菱蔆蘦蛉𧕅袊跉軨酃醽鈴陵㱥霝霛靈𩵀鯪鴒麢齡令柃零","令鈴零伶羚齡陵菱靈"
"ling3","嶺泠領","領嶺"
"ling4","令另竛𩜁","令另"
"lio5","略掠㗉䛚𧎾畧","略畧掠"
"lo2","儸嚧囉籮羅蘿鑼邏","羅鑼蘿"
"lo5","咯樂濼洛烙犖玏珞𤻲硌笿絡艻落袼詻躒酪錴雒𩊚馲駱鮥鰳鵅𪇱","樂洛絡烙落駱咯"
"long2","巃嚨曨攏朧櫳㰍瀧瓏癃䆍窿聾𦪽蠪豅隆隴霳䪊𩟭驡𪔳龍𪚝籠","龍聾攏籠朧嚨隆"
"long3","儱壟寵攏隴","攏壟隴"
"long4","哢弄梇贚衖閧","弄衖閧"
"lu2","壚廬擄櫨瀘爐獹玈瓐𤬛盧矑籚纑罏臚𧀦轤鑪顱鱸𪈒黸蘆","盧爐蘆廬鱸顱鑪"
"lü2","婁漊㟺櫚氀瘻藘䕡䣚閭䮉驢","驢"
"lu3","嚕櫓滷艣虜𧫓鐪魯䲐鹵","鹵滷魯櫓虜"
